한자,음,훈,전체,훈음,구분
價,가,값,價 (값 가),값 가,중
街,가,거리,街 (거리 가),거리 가,중
假,가,거짓,假 (거짓 가),거짓 가,중
歌,가,노래,歌 (노래 가),노래 가,중
加,가,더할,加 (더할 가),더할 가,중
架,가,시렁,架 (시렁 가),시렁 가,고
家,가,집,家 (집 가),집 가,중
可,가,옳을,可(옳을 가),옳을 가,중
暇 ,가,겨를,暇 (겨를 가),겨를 가,고
佳 ,가,아름다울,佳 (아름다울 가),아름다울 가,중
覺,각,깨달을,覺 (깨달을 각),깨달을 각,고
閣,각,누각,閣 (누각 각),누각 각,고
脚,각,다리,脚 (다리 각),다리 각,중
却,각,물리칠,却 (물리칠 각),물리칠 각,고
角,각,뿔,角 (뿔 각),뿔 각,중
各 ,각,각각,各 (각각 각),각각 각,중
刻 ,각,새길,刻 (새길 각),새길 각,고
肝,간,간,肝 (간 간),간 간,고
姦,간,간사할,姦 (간사할 간),간사할 간,고
簡,간,대쪽,簡 (대쪽 간),대쪽 간,고
看,간,볼,看 (볼 간),볼 간,중
間,간,사이,間 (사이 간),사이 간,중
懇,간,정성,懇 (정성 간),정성 간,고
幹,간,줄기,幹 (줄기 간),줄기 간,고
干 ,간,방패,干 (방패 간),방패 간,중
刊 ,간,책 펴낼,刊 (책 펴낼 간),책 펴낼 간,고
渴 ,갈,목마를,渴 (목마를 갈),목마를 갈,중
敢,감,감히,敢 (감히 감),감히 감,중
鑑,감,거울,鑑 (거울 감),거울 감,고
甘,감,달,甘 (달 감),달 감,중
減,감,덜,減 (덜 감),덜 감,중
感 ,감,느낄,感 (느낄 감),느낄 감,중
監 ,감,볼,監 (볼 감),볼 감,고
甲 ,갑,갑옷,甲 (갑옷 갑),갑옷 갑,중
江,강,강,江 (강 강),강 강,중
鋼,강,강철,鋼 (강철 강),강철 강,고
降,강,내릴,降 (내릴 강),내릴 강,중
綱,강,벼리,綱 (벼리 강),벼리 강,고
講,강,익힐,講 (익힐 강),익힐 강,중
康,강,편안할,康 (편안할 강),편안할 강,고
剛 ,강,굳셀,剛 (굳셀 강),굳셀 강,고
強 ,강,강할,強 (강할 강),강할 강,중
改,개,고칠,改 (고칠 개),고칠 개,중
皆,개,다,皆 (다 개),다 개,중
槪,개,대개,槪 (대개 개),대개 개,고
蓋,개,덮을,蓋 (덮을 개),덮을 개,고
慨,개,분개할,慨 (분개할 개),분개할 개,고
開,개,열,開 (열 개),열 개,중
介 ,개,끼일,介 (끼일 개),끼일 개,고
個 ,개,낱,個 (낱 개),낱 개,중
客 ,객,손님,客 (손님 객),손님 객,중
更 ,갱,다시,更 (다시 갱),다시 갱,중
據,거,근거,據 (근거 거),근거 거,고
擧,거,들,擧 (들 거),들 거,중
距,거,떨어질,距 (떨어질 거),떨어질 거,고
居,거,살,居 (살 거),살 거,중
巨,거,클,巨 (클 거),클 거,중
車,거,수레,車 (수레 거),수레 거,중
去 ,거,갈,去 (갈 거),갈 거,중
拒 ,거,막을,拒 (막을 거),막을 거,고
健,건,굳셀,健 (굳셀 건),굳셀 건,고
建,건,세울,建 (세울 건),세울 건,중
件 ,건,사건,件 (사건 건),사건 건,고
乾 ,건,하늘,乾 (하늘 건),하늘 건,중
傑,걸,뛰어날,傑 (뛰어날 걸),뛰어날 걸,고
乞 ,걸,빌,乞 (빌 걸),빌 걸,고
檢,검,검사할,檢 (검사할 검),검사할 검,고
劍,검,칼,劍 (칼 검),칼 검,고
儉 ,검,검소할,儉 (검소할 검),검소할 검,고
激,격,과격할,激 (과격할 격),과격할 격,고
格,격,바로잡을,格 (바로잡을 격),바로잡을 격,고
隔,격,사이 뜰,隔 (사이 뜰 격),사이 뜰 격,고
擊 ,격,부딪칠,擊 (부딪칠 격),부딪칠 격,고
犬,견,개,犬 (개 견),개 견,중
絹,견,명주,絹 (명주 견),명주 견,고
遣,견,보낼,遣 (보낼 견),보낼 견,고
見,견,볼,見 (볼 견),볼 견,중
肩,견,어깨,肩 (어깨 견),어깨 견,고
堅 ,견,굳을,堅 (굳을 견),굳을 견,중
牽 ,견,끌,牽 (끌 견),끌 견,고
潔,결,깨끗할,潔 (깨끗할 결),깨끗할 결,중
結,결,맺을,結 (맺을 결),맺을 결,중
缺 ,결,이지러질,缺 (이지러질 결),이지러질 결,고
決 ,결,터질,決 (터질 결),터질 결,중
謙,겸,겸손할,謙 (겸손할 겸),겸손할 겸,고
兼 ,겸,겸할,兼 (겸할 겸),겸할 겸,고
輕,경,가벼울,輕 (가벼울 경),가벼울 경,중
鏡,경,거울,鏡 (거울 경),거울 경,고
競,경,겨룰,競 (겨룰 경),겨룰 경,중
警,경,경계할,警 (경계할 경),경계할 경,고
慶,경,경사,慶 (경사 경),경사 경,중
經,경,경서,經 (경서 경),경서 경,중
敬,경,공경할,敬 (공경할 경),공경할 경,중
硬,경,굳을,硬 (굳을 경),굳을 경,고
驚,경,놀랄,驚 (놀랄 경),놀랄 경,중
竟,경,다할,竟 (다할 경),다할 경,고
耕,경,밭을 갈,耕 (밭을 갈 경),밭을 갈 경,중
卿,경,벼슬,卿 (벼슬 경),벼슬 경,고
景,경,볕,景 (볕 경),볕 경,중
庚,경,일곱째 천간,庚 (일곱째 천간 경),일곱째 천간 경,중
頃,경,잠깐,頃 (잠깐 경),잠깐 경,고
境,경,지경,境 (지경 경),지경 경,고
徑,경,지름길,徑 (지름길 경),지름길 경,고
傾 ,경,기울,傾 (기울 경),기울 경,고
京 ,경,서울,京 (서울 경),서울 경,중
戒,계,경계할,戒 (경계할 계),경계할 계,고
桂,계,계수나무,桂 (계수나무 계),계수나무 계,고
鷄,계,닭,鷄 (닭 계),닭 계,중
繫,계,맬,繫 (맬 계),맬 계,고
契,계,맺을,契 (맺을 계),맺을 계,고
階,계,섬돌,階 (섬돌 계),섬돌 계,고
溪,계,시내,溪 (시내 계),시내 계,중
啓,계,열,啓 (열 계),열 계,고
癸,계,열째 천간,癸 (열째 천간 계),열째 천간 계,중
系,계,이을,系 (이을 계),이을 계,고
繼,계,이을,繼 (이을 계),이을 계,고
界,계,지경,界 (지경 계),지경 계,중
械,계,형틀,械 (형틀 계),형틀 계,고
計,계,꾀,計(꾀 계),꾀 계,중
係 ,계,걸릴,係 (걸릴 계),걸릴 계,고
季 ,계,끝,季 (끝 계),끝 계,중
庫,고,곳집,庫 (곳집 고),곳집 고,고
固,고,굳을,固 (굳을 고),굳을 고,중
高,고,높을,高 (높을 고),높을 고,중
顧,고,돌아볼,顧 (돌아볼 고),돌아볼 고,고
枯,고,마를,枯 (마를 고),마를 고,고
稿,고,볏짚,稿 (볏짚 고),볏짚 고,고
鼓,고,북,鼓 (북 고),북 고,고
考,고,상고할,考 (상고할 고),상고할 고,중
苦,고,쓸,苦 (쓸 고),쓸 고,중
告,고,알릴,告 (알릴 고),알릴 고,중
故,고,옛,故 (옛 고),옛 고,중
孤,고,외로울,孤 (외로울 고),외로울 고,고
姑 ,고,시어미,姑 (시어미 고),시어미 고,고
古 ,고,옛,古 (옛 고),옛 고,중
穀,곡,곡식,穀 (곡식 곡),곡식 곡,중
谷,곡,골,谷 (골 곡),골 곡,중
曲 ,곡,굽을,曲 (굽을 곡),굽을 곡,중
哭 ,곡,울,哭 (울 곡),울 곡,고
坤,곤,땅,坤 (땅 곤),땅 곤,중
困 ,곤,괴로울,困 (괴로울 곤),괴로울 곤,중
骨 ,골,뼈,骨 (뼈 골),뼈 골,중
功,공,공로,功 (공로 공),공로 공,중
恭,공,공손할,恭 (공손할 공),공손할 공,고
孔,공,구멍,孔 (구멍 공),구멍 공,고
恐,공,두려울,恐 (두려울 공),두려울 공,고
貢,공,바칠,貢 (바칠 공),바칠 공,고
工,공,장인,工 (장인 공),장인 공,중
攻,공,칠,攻 (칠 공),칠 공,고
共,공,함께,共 (함께 공),함께 공,중
空,공,빌,空(빌 공),빌 공,중
公 ,공,공변될,公 (공변될 공),공변될 공,중
供 ,공,이바지할,供 (이바지할 공),이바지할 공,고
科,과,과정,科 (과정 과),과정 과,중
課,과,매길,課 (매길 과),매길 과,중
誇,과,자랑할,誇 (자랑할 과),자랑할 과,고
過,과,지날,過 (지날 과),지날 과,중
果 ,과,과실,果 (과실 과),과실 과,중
寡 ,과,적을,寡 (적을 과),적을 과,고
郭 ,곽,성곽,郭 (성곽 곽),성곽 곽,고
館,관,객사,館 (객사 관),객사 관,고
貫,관,꿸,貫 (꿸 관),꿸 관,고
寬,관,너그러울,寬 (너그러울 관),너그러울 관,고
慣,관,버릇,慣 (버릇 관),버릇 관,고
觀,관,볼,觀 (볼 관),볼 관,중
關,관,빗장,關 (빗장 관),빗장 관,중
管,관,피리,管 (피리 관),피리 관,고
冠 ,관,갓,冠 (갓 관),갓 관,고
官 ,관,벼슬,官 (벼슬 관),벼슬 관,중
廣,광,넓을,廣 (넓을 광),넓을 광,중
鑛,광,쇳돌,鑛 (쇳돌 광),쇳돌 광,고
狂 ,광,미칠,狂 (미칠 광),미칠 광,고
光 ,광,빛,光 (빛 광),빛 광,중
掛 ,괘,걸,掛 (걸 괘),걸 괘,고
怪,괴,기이할,怪 (기이할 괴),기이할 괴,고
壞,괴,무너질,壞 (무너질 괴),무너질 괴,고
愧,괴,부끄러워할,愧 (부끄러워할 괴),부끄러워할 괴,고
塊 ,괴,흙덩이,塊 (흙덩이 괴),흙덩이 괴,고
敎,교,가르칠,敎 (가르칠 교),가르칠 교,중
較,교,견줄,較 (견줄 교),견줄 교,고
橋,교,다리,橋 (다리 교),다리 교,중
矯,교,바로잡을,矯 (바로잡을 교),바로잡을 교,고
郊,교,성 밖,郊 (성 밖 교),성 밖 교,고
校,교,학교,校 (학교 교),학교 교,중
巧 ,교,공교할,巧 (공교할 교),공교할 교,고
交 ,교,사귈,交 (사귈 교),사귈 교,중
具,구,갖출,具 (갖출 구),갖출 구,고
狗,구,개,狗 (개 구),개 구,고
救,구,건질,救 (건질 구),건질 구,중
球,구,공,球 (공 구),공 구,고
求,구,구할,求 (구할 구),구할 구,중
究,구,궁구할,究 (궁구할 구),궁구할 구,중
句,구,글귀,句 (글귀 구),글귀 구,중
懼,구,두려워할,懼 (두려워할 구),두려워할 구,고
龜,구,땅 이름,龜 (땅 이름 구),땅 이름 구,고
驅,구,몰,驅 (몰 구),몰 구,고
九,구,아홉,九 (아홉 구),아홉 구,중
構,구,얽을,構 (얽을 구),얽을 구,고
舊,구,예,舊 (예 구),예 구,중
口,구,입,口 (입 구),입 구,중
拘,구,잡을,拘 (잡을 구),잡을 구,고
區,구,지경,區 (지경 구),지경 구,고
苟,구,진실로,苟 (진실로 구),진실로 구,고
俱,구,함께,俱 (함께 구),함께 구,고
丘 ,구,언덕,丘 (언덕 구),언덕 구,고
久 ,구,오랠,久 (오랠 구),오랠 구,중
菊,국,국화,菊 (국화 국),국화 국,고
國 ,국,나라,國 (나라 국),나라 국,중
局 ,국,판,局 (판 국),판 국,고
郡,군,고을,郡 (고을 군),고을 군,중
軍,군,군사,軍 (군사 군),군사 군,중
群 ,군,무리,群 (무리 군),무리 군,고
君 ,군,임금,君 (임금 군),임금 군,중
屈 ,굴,굽을,屈 (굽을 굴),굽을 굴,고
窮,궁,다할,窮 (다할 궁),다할 궁,고
宮 ,궁,집,宮 (집 궁),집 궁,고
弓 ,궁,활,弓 (활 궁),활 궁,중
權,권,권세,權 (권세 권),권세 권,중
拳,권,주먹,拳 (주먹 권),주먹 권,고
卷,권,책,卷 (책 권),책 권,중
勸 ,권,권할,勸 (권할 권),권할 권,중
券 ,권,문서,券 (문서 권),문서 권,고
厥 ,궐,그,厥 (그 궐),그 궐,고
軌 ,궤,길,軌 (길 궤),길 궤,고
貴,귀,귀할,貴 (귀할 귀),귀할 귀,중
鬼 ,귀,귀신,鬼 (귀신 귀),귀신 귀,고
歸 ,귀,돌아갈,歸 (돌아갈 귀),돌아갈 귀,중
規,규,법,規 (법 규),법 규,고
糾,규,살필,糾 (살필 규),살필 규,고
叫 ,규,부르짖을,叫 (부르짖을 규),부르짖을 규,고
均 ,균,고를,均 (고를 균),고를 균,중
菌 ,균,버섯,菌 (버섯 균),버섯 균,고
劇,극,심할,劇 (심할 극),심할 극,고
極 ,극,다할,極 (다할 극),다할 극,중
克 ,극,이길,克 (이길 극),이길 극,고
近,근,가까울,近 (가까울 근),가까울 근,중
斤,근,도끼,斤 (도끼 근),도끼 근,고
根,근,뿌리,根 (뿌리 근),뿌리 근,중
謹,근,삼갈,謹 (삼갈 근),삼갈 근,고
僅 ,근,겨우,僅 (겨우 근),겨우 근,고
勤 ,근,부지런할,勤 (부지런할 근),부지런할 근,중
禁,금,금할,禁 (금할 금),금할 금,중
禽,금,날짐승,禽 (날짐승 금),날짐승 금,고
錦,금,비단,錦 (비단 금),비단 금,고
金,금,쇠,金 (쇠 금),쇠 금,중
琴 ,금,거문고,琴 (거문고 금),거문고 금,고
今 ,금,이제,今 (이제 금),이제 금,중
急,급,급할,急 (급할 급),급할 급,중
給,급,넉넉할,給 (넉넉할 급),넉넉할 급,중
級 ,급,등급,級 (등급 급),등급 급,고
及 ,급,미칠,及 (미칠 급),미칠 급,중
肯 ,긍,긍정할,肯 (긍정할 긍),긍정할 긍,고
畿,기,경기,畿 (경기 기),경기 기,고
器,기,그릇,器 (그릇 기),그릇 기,고
旗,기,기,旗 (기 기),기 기,고
記,기,기록할,記 (기록할 기),기록할 기,중
幾,기,기미,幾 (기미 기),기미 기,중
期,기,기약할,期 (기약할 기),기약할 기,중
氣,기,기운,氣 (기운 기),기운 기,중
奇,기,기이할,奇 (기이할 기),기이할 기,고
忌,기,꺼릴,忌 (꺼릴 기),꺼릴 기,고
騎,기,말탈,騎 (말탈 기),말탈 기,고
己,기,몸,己 (몸 기),몸 기,중
棄,기,버릴,棄 (버릴 기),버릴 기,고
紀,기,벼리,紀 (벼리 기),벼리 기,고
寄,기,부칠,寄 (부칠 기),부칠 기,고
祈,기,빌,祈 (빌 기),빌 기,고
欺,기,속일,欺 (속일 기),속일 기,고
豈,기,어찌,豈 (어찌 기),어찌 기,고
旣,기,이미,旣 (이미 기),이미 기,중
起,기,일어날,起 (일어날 기),일어날 기,중
技,기,재주,技 (재주 기),재주 기,중
飢,기,주릴,飢 (주릴 기),주릴 기,고
基,기,터,基 (터 기),터 기,중
機,기,틀,機 (틀 기),틀 기,고
其 ,기,그,其 (그 기),그 기,중
企 ,기,꾀할,企 (꾀할 기),꾀할 기,고
緊 ,긴,긴요할,緊 (긴요할 긴),긴요할 긴,고
吉 ,길,길할,吉 (길할 길),길할 길,중
那 ,나,어찌,那 (어찌 나),어찌 나,고
諾 ,낙,대답할,諾 (대답할 낙),대답할 낙,고
難,난,어려울,難 (어려울 난),어려울 난,중
暖 ,난,따뜻할,暖 (따뜻할 난),따뜻할 난,중
男,남,사내,男 (사내 남),사내 남,중
南 ,남,남녘,南 (남녘 남),남녘 남,중
納 ,납,바칠,納 (바칠 납),바칠 납,고
娘 ,낭,아가씨,娘 (아가씨 낭),아가씨 낭,고
耐,내,견딜,耐 (견딜 내),견딜 내,고
內,내,안,內 (안 내),안 내,중
奈 ,내,어찌,奈 (어찌 내),어찌 내,고
乃 ,내,이에,乃 (이에 내),이에 내,중
女 ,녀,계집,女 (계집 녀),계집 녀,중
年 ,년,해,年 (해 년),해 년,중
念 ,념,생각할,念 (생각할 념),생각할 념,중
寧 ,녕,편안할,寧 (편안할 녕),편안할 녕,고
奴,노,종,奴 (종 노),종 노,고
怒 ,노,성낼,怒 (성낼 노),성낼 노,중
努 ,노,힘쓸,努 (힘쓸 노),힘쓸 노,고
農 ,농,농사,農 (농사 농),농사 농,중
腦,뇌,뇌,腦 (뇌 뇌),뇌 뇌,고
惱 ,뇌,괴로워할,惱 (괴로워할 뇌),괴로워할 뇌,고
能 ,능,능할,能 (능할 능),능할 능,중
泥 ,니,진흙,泥 (진흙 니),진흙 니,고
多 ,다,많을,多 (많을 다),많을 다,중
茶 ,다,차,茶 (차 다),차 다,고
段,단,구분,段 (구분 단),구분 단,고
斷,단,끊을,斷 (끊을 단),끊을 단,고
但,단,다만,但 (다만 단),다만 단,중
壇,단,단,壇 (단 단),단 단,고
端,단,바를,端 (바를 단),바를 단,중
檀,단,박달나무,檀 (박달나무 단),박달나무 단,고
旦,단,아침,旦 (아침 단),아침 단,고
短,단,짧을,短 (짧을 단),짧을 단,중
單,단,홑,單 (홑 단),홑 단,중
團 ,단,둥글,團 (둥글 단),둥글 단,고
丹 ,단,붉을,丹 (붉을 단),붉을 단,중
達 ,달,통달할,達 (통달할 달),통달할 달,중
淡,담,묽을,淡 (묽을 담),묽을 담,고
談 ,담,말씀,談 (말씀 담),말씀 담,중
擔 ,담,멜,擔 (멜 담),멜 담,고
踏,답,밟을,踏 (밟을 답),밟을 답,고
畓 ,답,논,畓 (논 답),논 답,고
答 ,답,대답할,答 (대답할 답),대답할 답,중
當,당,당할,當 (당할 당),당할 당,중
黨,당,무리,黨 (무리 당),무리 당,고
糖,당,사탕,糖 (사탕 당),사탕 당,고
唐 ,당,당나라,唐 (당나라 당),당나라 당,고
堂 ,당,집,堂 (집 당),집 당,중
待,대,기다릴,待 (기다릴 대),기다릴 대,중
臺,대,대,臺 (대 대),대 대,고
對,대,대답할,對 (대답할 대),대답할 대,중
隊,대,떼,隊 (떼 대),떼 대,고
貸,대,빌릴,貸 (빌릴 대),빌릴 대,고
大,대,큰,大 (큰 대),큰 대,중
代 ,대,대신할,代 (대신할 대),대신할 대,중
帶 ,대,띠,帶 (띠 대),띠 대,고
德 ,덕,덕,德 (덕 덕),덕 덕,중
渡,도,건널,渡 (건널 도),건널 도,고
圖,도,그림,圖 (그림 도),그림 도,중
途,도,길,途 (길 도),길 도,고
道,도,길,道 (길 도),길 도,중
逃,도,달아날,逃 (달아날 도),달아날 도,고
都,도,도읍,都 (도읍 도),도읍 도,중
跳,도,뛸,跳 (뛸 도),뛸 도,고
徒,도,무리,徒 (무리 도),무리 도,중
度,도,법도,度 (법도 도),법도 도,중
稻,도,벼,稻 (벼 도),벼 도,고
桃,도,복숭아나무,桃 (복숭아나무 도),복숭아나무 도,고
島,도,섬,島 (섬 도),섬 도,중
導,도,이끌,導 (이끌 도),이끌 도,고
到,도,이를,到 (이를 도),이를 도,중
塗,도,진흙,塗 (진흙 도),진흙 도,고
陶,도,질그릇,陶 (질그릇 도),질그릇 도,고
盜,도,훔칠,盜 (훔칠 도),훔칠 도,고
挑,도,휠,挑 (휠 도),휠 도,고
倒 ,도,넘어질,倒 (넘어질 도),넘어질 도,고
刀 ,도,칼,刀 (칼 도),칼 도,중
篤,독,도타울,篤 (도타울 독),도타울 독,고
督,독,살펴볼,督 (살펴볼 독),살펴볼 독,고
讀,독,읽을,讀 (읽을 독),읽을 독,중
毒 ,독,독,毒 (독 독),독 독,고
獨 ,독,홀로,獨 (홀로 독),홀로 독,중
豚,돈,돼지,豚 (돼지 돈),돼지 돈,고
敦 ,돈,도타울,敦 (도타울 돈),도타울 돈,고
突 ,돌,갑자기,突 (갑자기 돌),갑자기 돌,고
洞,동,골짜기,洞 (골짜기 동),골짜기 동,중
銅,동,구리,銅 (구리 동),구리 동,고
東,동,동녘,東 (동녘 동),동녘 동,중
童,동,아이,童 (아이 동),아이 동,중
動,동,움직일,動 (움직일 동),움직일 동,중
同,동,한 가지,同 (한 가지 동),한 가지 동,중
冬 ,동,겨울,冬 (겨울 동),겨울 동,중
凍 ,동,얼,凍 (얼 동),얼 동,고
頭,두,머리,頭 (머리 두),머리 두,중
豆,두,콩,豆 (콩 두),콩 두,중
斗 ,두,말,斗 (말 두),말 두,중
鈍,둔,무딜,鈍 (무딜 둔),무딜 둔,고
屯 ,둔,진칠,屯 (진칠 둔),진칠 둔,고
得 ,득,얻을,得 (얻을 득),얻을 득,중
等,등,가지런할,等 (가지런할 등),가지런할 등,중
登,등,오를,登 (오를 등),오를 등,중
燈 ,등,등잔,燈 (등잔 등),등잔 등,중
騰 ,등,오를,騰 (오를 등),오를 등,고
羅 ,라,벌릴,羅 (벌릴 라),벌릴 라,고
落,락,떨어질,落 (떨어질 락),떨어질 락,중
絡 ,락,헌솜,絡 (헌솜 락),헌솜 락,고
樂 ,락,즐길,樂 (즐길 락),즐길 락,중
欄,란,난간,欄 (난간 란),난간 란,고
蘭,란,난초,蘭 (난초 란),난초 란,고
卵 ,란,알,卵 (알 란),알 란,중
亂 ,란,어지러울,亂 (어지러울 란),어지러울 란,고
覽,람,볼,覽 (볼 람),볼 람,고
濫 ,람,퍼질,濫 (퍼질 람),퍼질 람,고
郞,랑,사내,郞 (사내 랑),사내 랑,중
浪 ,랑,물결,浪 (물결 랑),물결 랑,중
廊 ,랑,복도,廊 (복도 랑),복도 랑,고
來 ,래,올,來 (올 래),올 래,중
冷 ,랭,찰,冷 (찰 랭),찰 랭,중
略,략,다스릴,略 (다스릴 략),다스릴 략,고
掠 ,략,노략질할,掠 (노략질할 략),노략질할 략,고
諒,량,믿을,諒 (믿을 량),믿을 량,고
涼,량,서늘할,涼 (서늘할 량),서늘할 량,중
糧,량,양식,糧 (양식 량),양식 량,고
良,량,어질,良 (어질 량),어질 량,중
量,량,헤아릴,量 (헤아릴 량),헤아릴 량,중
兩 ,량,두,兩 (두 량),두 량,중
梁 ,량,들보,梁 (들보 량),들보 량,고
麗,려,고울,麗 (고울 려),고울 려,고
慮,려,생각할,慮 (생각할 려),생각할 려,고
旅 ,려,군사,旅 (군사 려),군사 려,중
勵 ,려,힘쓸,勵 (힘쓸 려),힘쓸 려,고
歷,력,지낼,歷 (지낼 력),지낼 력,중
曆 ,력,책력,曆 (책력 력),책력 력,고
力 ,력,힘,力 (힘 력),힘 력,중
鍊,련,불릴,鍊 (불릴 련),불릴 련,고
戀,련,사모할,戀 (사모할 련),사모할 련,고
蓮,련,연,蓮 (연 련),연 련,고
聯,련,잇달,聯 (잇달 련),잇달 련,고
連,련,잇닿을,連 (잇닿을 련),잇닿을 련,중
憐 ,련,불쌍히 여길,憐 (불쌍히 여길 련),불쌍히 여길 련,고
練 ,련,익힐,練 (익힐 련),익힐 련,중
烈,렬,세찰,烈 (세찰 렬),세찰 렬,중
裂,렬,찢을,裂 (찢을 렬),찢을 렬,고
劣 ,렬,못할,劣 (못할 렬),못할 렬,고
列 ,렬,벌일,列 (벌일 렬),벌일 렬,중
廉 ,렴,청렴할,廉 (청렴할 렴),청렴할 렴,고
獵 ,렵,사냥,獵 (사냥 렵),사냥 렵,고
零,령,떨어질,零 (떨어질 령),떨어질 령,고
靈,령,신령,靈 (신령 령),신령 령,고
領,령,옷깃,領 (옷깃 령),옷깃 령,중
令 ,령,명령할,令 (명령할 령),명령할 령,중
嶺 ,령,재,嶺 (재 령),재 령,고
禮,례,예도,禮 (예도 례),예도 례,중
例 ,례,법식,例 (법식 례),법식 례,중
隷 ,례,종,隷 (종 례),종 례,고
路,로,길,路 (길 로),길 로,중
老,로,늙은이,老 (늙은이 로),늙은이 로,중
露,로,이슬,露 (이슬 로),이슬 로,중
勞 ,로,일할,勞 (일할 로),일할 로,중
爐 ,로,화로,爐 (화로 로),화로 로,고
錄,록,기록할,錄 (기록할 록),기록할 록,고
鹿,록,사슴,鹿 (사슴 록),사슴 록,고
祿 ,록,복,祿 (복 록),복 록,고
綠 ,록,초록빛,綠 (초록빛 록),초록빛 록,중
論 ,론,말할,論 (말할 론),말할 론,중
弄 ,롱,희롱할,弄 (희롱할 롱),희롱할 롱,고
雷,뢰,우레,雷 (우레 뢰),우레 뢰,고
賴 ,뢰,힘입을,賴 (힘입을 뢰),힘입을 뢰,고
僚,료,동료,僚 (동료 료),동료 료,고
了 ,료,마칠,了 (마칠 료),마칠 료,고
料 ,료,헤아릴,料 (헤아릴 료),헤아릴 료,중
龍 ,룡,용,龍 (용 룡),용 룡,고
淚,루,눈물,淚 (눈물 루),눈물 루,고
樓,루,다락,樓 (다락 루),다락 루,고
累,루,묶을,累 (묶을 루),묶을 루,고
漏,루,샐,漏 (샐 루),샐 루,고
屢 ,루,창,屢 (창 루),창 루,고
留,류,머무를,留 (머무를 류),머무를 류,중
流,류,흐를,流 (흐를 류),흐를 류,중
類 ,류,무리,類 (무리 류),무리 류,고
柳 ,류,버들,柳 (버들 류),버들 류,중
陸,륙,뭍,陸 (뭍 륙),뭍 륙,중
六 ,륙,여섯,六 (여섯 륙),여섯 륙,중
輪 ,륜,바퀴,輪 (바퀴 륜),바퀴 륜,고
倫 ,륜,인륜,倫 (인륜 륜),인륜 륜,중
率,률,헤아릴,率 (헤아릴 률),헤아릴 률,고
栗 ,률,밤나무,栗 (밤나무 률),밤나무 률,고
律 ,률,법,律 (법 률),법 률,중
隆 ,륭,클,隆 (클 륭),클 륭,고
陵 ,릉,큰 언덕,陵 (큰 언덕 릉),큰 언덕 릉,고
理,리,다스릴,理 (다스릴 리),다스릴 리,중
離,리,떼놓을,離 (떼놓을 리),떼놓을 리,고
里,리,마을,里 (마을 리),마을 리,중
履,리,밟을,履 (밟을 리),밟을 리,고
梨,리,배나무,梨 (배나무 리),배나무 리,고
裏,리,속,裏 (속 리),속 리,고
李,리,오얏,李 (오얏 리),오얏 리,중
吏 ,리,벼슬아치,吏 (벼슬아치 리),벼슬아치 리,고
利 ,리,이로울,利 (이로울 리),이로울 리,중
鄰 ,린,이웃,鄰 (이웃 린),이웃 린,고
林 ,림,수풀,林 (수풀 림),수풀 림,중
臨 ,림,임할,臨 (임할 림),임할 림,고
立 ,립,설,立 (설 립),설 립,중
麻,마,삼,麻 (삼 마),삼 마,고
磨 ,마,갈,磨 (갈 마),갈 마,고
馬 ,마,말,馬 (말 마),말 마,중
漠,막,사막,漠 (사막 막),사막 막,고
幕 ,막,막,幕 (막 막),막 막,고
莫 ,막,없을,莫 (없을 막),없을 막,중
萬,만,일만,萬 (일만 만),일만 만,중
漫,만,질펀할,漫 (질펀할 만),질펀할 만,고
滿,만,찰,滿 (찰 만),찰 만,중
慢 ,만,게으를,慢 (게으를 만),게으를 만,고
晚 ,만,늦을,晚 (늦을 만),늦을 만,중
末 ,말,끝,末 (끝 말),끝 말,중
罔,망,그물,罔 (그물 망),그물 망,고
望,망,바랄,望 (바랄 망),바랄 망,중
忙,망,바쁠,忙 (바쁠 망),바쁠 망,중
茫,망,아득할,茫 (아득할 망),아득할 망,고
忘,망,잊을,忘 (잊을 망),잊을 망,중
妄 ,망,망령될,妄 (망령될 망),망령될 망,고
亡 ,망,망할,亡 (망할 망),망할 망,중
每,매,매양,每 (매양 매),매양 매,중
梅,매,매화나무,梅 (매화나무 매),매화나무 매,고
買,매,살,買 (살 매),살 매,중
媒,매,중매,媒 (중매 매),중매 매,고
賣,매,팔,賣 (팔 매),팔 매,중
妹 ,매,누이,妹 (누이 매),누이 매,중
埋 ,매,묻을,埋 (묻을 매),묻을 매,고
脈 ,맥,맥,脈 (맥 맥),맥 맥,고
麥 ,맥,보리,麥 (보리 맥),보리 맥,중
盟,맹,맹세할,盟 (맹세할 맹),맹세할 맹,고
猛,맹,사나울,猛 (사나울 맹),사나울 맹,고
盲,맹,소경,盲 (소경 맹),소경 맹,고
孟 ,맹,맏,孟 (맏 맹),맏 맹,고
面,면,낯,面 (낯 면),낯 면,중
眠,면,잠잘,眠 (잠잘 면),잠잘 면,중
勉,면,힘쓸,勉 (힘쓸 면),힘쓸 면,중
免 ,면,면할,免 (면할 면),면할 면,중
綿 ,면,이어질,綿 (이어질 면),이어질 면,고
滅 ,멸,멸망할,滅 (멸망할 멸),멸망할 멸,고
命,명,목숨,命 (목숨 명),목숨 명,중
明,명,밝을,明 (밝을 명),밝을 명,중
銘,명,새길,銘 (새길 명),새길 명,고
鳴,명,울,鳴 (울 명),울 명,중
冥 ,명,어두울,冥 (어두울 명),어두울 명,고
